CartoSanté; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par bassin de vie; ; ; ; ; ; ; ; ; 
Code;Libellé;Part des bénéf. ophtalmo. dans pop. 2024;APL Médecins généralistes 2023;Densité d'orthophonistes lib. 2024;Densité de généralistes lib. 2024;Densité d'infirmiers lib. 2024;Densité de sages-femmes lib. 2024;Part des bénéf. en ALD dans la pop 2024;Densité des pharmacies pour 10 000 hab. 2024
22093;Lamballe-Armor;33.3;2.9;27.7;4.9;14.3;2.9;16.3;2.6
22113;Lannion;31.7;3.5;48;8.5;22.9;1.8;19.3;3.1
22121;Lanvollon;26.3;2.9;46.1;4.6;15;0;16.3;2.3
22136;Loudéac;33;2.6;20.1;4.5;18.3;0;19;3
22143;Matignon;36.3;2.9;34.6;6.9;20.8;2.2;22.6;4.6
22147;Merdrignac;34.2;3;28.4;7.1;11.3;0;20.8;2.8
22162;Paimpol;29.8;3.5;21.8;7.8;23.5;3.3;20.9;4.8
22172;Plancoët;32.7;3;23.3;7;11.7;3;18.5;3.9
22186;Pléneuf-Val-André;38.2;3.1;61.8;9.3;24.7;0;21.2;4.6
22194;Plestin-les-Grèves;37.6;3;43.6;10.9;43.6;0;23;4.4
22203;Plœuc-L'Hermitage;29.5;1.4;17.5;0;10.5;3.4;17.4;1.8
22206;Châtelaudren-Plouagat;25.9;2.8;41.5;6.6;21.6;1.7;14.5;2.5
22222;Plouha;33.5;3;20.3;12.2;28.4;7.6;23.7;2
22262;Quintin;28.4;2.2;12.4;6.2;10.5;4.9;15.3;2.5
22266;Rostrenen;23.8;3.1;37.9;7;24.9;0;21.2;3.2
22278;Saint-Brieuc;29.4;3.5;31.6;7.3;12.3;2.4;18.9;3.2
