annee,code_insee,commune,is_thierache_centre,apl_generalistes,apl_generalistes_moins65,pop_standardisee,pop_totale
2023,39217,L'Étoile,False,4.582,4.077,596.585,570
2023,39218,Étrepigney,False,3.519,3.245,437.35,432
2023,39219,Évans,False,4.7,4.339,654.679,666
2023,39220,Falletans,False,3.751,3.631,393.821,405
2023,39221,La Favière,False,3.128,2.951,29.838,32
2023,39222,Fay-en-Montagne,False,2.243,2.243,87.93,84
2023,39223,La Ferté,False,4.997,4.944,202.264,192
2023,39225,Le Fied,False,2.062,2.062,187.46,188
2023,39227,Foncine-le-Bas,False,3.851,3.169,217.518,198
2023,39228,Foncine-le-Haut,False,3.569,3.114,1096.399,1101
2023,39229,Fontainebrux,False,3.228,2.996,205.639,206
2023,39230,Fontenu,False,1.997,1.77,72.154,74
2023,39232,Fort-du-Plasne,False,3.06,2.605,459.223,466
2023,39233,Foucherans,False,4.785,4.47,2391.413,2279
2023,39234,Foulenay,False,2.057,1.951,96.341,82
2023,39235,Fraisans,False,4.13,3.769,1235.678,1184
2023,39236,Francheville,False,2.346,2.187,44.637,46
2023,39237,Fraroz,False,1.706,1.706,52.892,54
2023,39238,Frasne-les-Meulières,False,3.402,3.232,107.56,107
2023,39239,La Frasnée,False,2.625,2.625,42.614,40
2023,39240,Le Frasnois,False,2.76,2.078,172.289,173
2023,39241,Frébuans,False,3.786,3.363,401.217,384
2023,39244,Frontenay,False,3.757,3.599,170.289,160
2023,39245,Gatey,False,2.426,2.37,354.372,362
2023,39246,Gendrey,False,5.843,5.646,400.272,432
2023,39247,Genod,False,3.292,3.292,78.17,74
2023,39248,Geraise,False,2.184,2.184,43.618,44
2023,39249,Germigney,False,4.493,4.493,80.881,75
2023,39250,Geruge,False,1.793,1.435,178.558,183
2023,39251,Gevingey,False,3.656,3.233,440.218,439
2023,39252,Gevry,False,5.687,5.342,736.789,724
2023,39253,Gigny,False,0.326,0.179,289.748,270
2023,39254,Gillois,False,3.52,3.115,133.318,133
2023,39255,Gizia,False,1.754,1.606,257.389,217
2023,39258,Grande-Rivière Château,False,0.972,0.972,632.223,632
2023,39259,Grange-de-Vaivre,False,5.442,5.442,41.418,41
2023,39261,Graye-et-Charnay,False,0.326,0.179,152.67,138
2023,39262,Gredisans,False,3.667,3.573,139.972,132
2023,39263,Grozon,False,3.863,3.81,381.768,382
2023,39265,Hautecour,False,3.257,3.257,226.168,198
2023,39266,Les Hays,False,2.111,2.111,356.274,347
2023,39267,Ivory,False,3.373,3.373,101.456,92
2023,39268,Ivrey,False,3.919,3.919,61.23,60
2023,39269,Jeurre,False,2.369,2.329,253.442,248
2023,39270,Jouhe,False,4.577,4.484,513.716,536
2023,39271,Lac-des-Rouges-Truites,False,3.64,3.186,383.258,392
2023,39272,Ladoye-sur-Seille,False,1.359,1.359,51.911,48
2023,39273,Montlainsia,False,0.179,0.179,241.857,222
2023,39274,Lajoux,False,1.999,1.999,295.605,295
2023,39275,Lamoura,False,3.004,2.761,633.406,654
2023,39277,Le Larderet,False,3.032,2.679,55.862,51
2023,39278,Largillay-Marsonnay,False,4.292,4.292,148.524,135
2023,39279,Larnaud,False,3.205,3.055,596.738,612
