CartoSanté; ; 
Référentiel géographique : France par bassin de vie / canton-ville; ; 
Code;Libellé;APL Médecins généralistes 2023
23025;Bonnat;2.8
23030;Bourganeuf;2.9
23031;Boussac;2.4
23075;Dun-le-Palestel;2.5
23076;Évaux-les-Bains;2.9
2308;Évaux-les-Bains;1.5
23096;Guéret;2.9
23176;La Souterraine;2.9
2402;Bergerac-2;2.9
2403;Brantôme en Périgord;1.4
2404;Coulounieix-Chamiers;3.7
2405;Le Haut-Périgord Noir;1.6
2406;Isle-Loue-Auvézère;1.5
24064;Brantôme en Périgord;3.1
24067;Le Bugue;3.2
2407;Isle-Manoire;3.1
2408;Lalinde;1.5
2410;Pays de la Force;3.1
2411;Pays de Montaigne et Gurson;3.4
2412;Périgord Central;1.8
24164;Excideuil;3.1
24167;Eymet;2.1
2417;Saint-Astier;2.3
2419;Sud-Bergeracois;2
2420;Terrasson-Lavilledieu;1.8
2421;Thiviers;2.8
2422;Trélissac;4
24223;Lalinde;2.5
24291;Montignac-Lascaux;3.1
24294;Montpon-Ménestérol;2.9
24299;Mussidan;3.1
24309;Neuvic;2.3
24311;Nontron;2.9
24352;Ribérac;2.4
24372;Saint-Astier;2.3
24396;Saint-Cyprien;3.8
24520;Sarlat-la-Canéda;3.5
24547;Terrasson-Lavilledieu;3.1
24551;Thiviers;3.9
24571;Vergt;2.9
2488;Sanilhac;4.6
2489;Bassillac et Auberoche;3.2
2498;Bergerac;3.4
2499;Périgueux;4
2501;Audincourt;3.7
2502;Baume-les-Dames;4.9
2503;Bavans;3.4
2504;Besançon-1;5
25047;Baume-les-Dames;5.2
2505;Besançon-2;5.2
2506;Besançon-3;5.1
2507;Besançon-4;5.2
2508;Besançon-5;5.6
2509;Besançon-6;4.4
2510;Bethoncourt;4.3
2512;Maîche;1.3
2513;Montbéliard;4.1
2517;Saint-Vit;3.5
2519;Valentigney;3.3
25315;L'Isle-sur-le-Doubs;3.7
25356;Maîche;2.7
25411;Morteau;3.6
25434;Ornans;4.1
25462;Pontarlier;3.3
25463;Pont-de-Roide-Vermondans;2.8
25495;Roche-lez-Beaupré;4.6
25512;Le Russey;2.2
25527;Saint-Vit;5
25532;Saône;3.8
25578;Valdahon;4.1
2599;Besançon;5
2601;Bourg-de-Péage;4.5
2603;Dieulefit;3.8
26037;Beaumont-lès-Valence;3.4
2605;Drôme des collines;1.8
2606;Grignan;3.4
26063;Buis-les-Baronnies;2.8
26064;Chabeuil;3.3
2607;Loriol-sur-Drôme;3.7
2608;Montélimar-1;3.4
2609;Montélimar-2;3.3
26108;Crest;3.3
2611;Romans-sur-Isère;3.7
26113;Die;3.7
26114;Dieulefit;3.8
26116;Donzère;2.8
2613;Tain-l'Hermitage;3.3
