code;deces_domicilies_2024;part_75_ans_plus;taux_pauvrete;revenu_median;part_sans_diplome;part_ouvriers;part_familles_monoparentales;part_moins_15_ans;taille_menage;part_locataires;part_locataires_HLM;part_suroccupation;part_residences_principales;part_appartements;part_maisons;densite_population;part_benef_ophtalmo;apl_generaliste;densite_orthophonistes;densite_generalistes;densite_infirmiers;densite_sages_femmes;part_benef_ald;densite_pharmacies;libelle
57540;145;8.7;9.4;23550.0;18.9;25.7;14.0;16.3;2.25;23.9;3.0;0.3;87.2;20.0;78.3;108.5;32.6;3.3;43.8;5.1;26.3;0.0;19.4;2.2;Phalsbourg
57556;128;9.3;12.8;22520.0;22.7;20.5;11.7;15.1;2.27;19.0;1.5;0.1;81.8;16.0;83.8;105.6;29.9;3.0;27.4;7.3;15.6;0.0;19.1;1.8;Puttelange-aux-Lacs
57572;102;7.1;7.3;24540.0;15.0;20.1;10.7;19.2;2.43;18.8;1.1;0.0;91.2;14.2;85.4;48.4;25.8;4.0;38.9;12.6;16.5;3.9;;1.9;Rémilly
57589;122;9.8;8.4;23800.0;21.9;23.5;12.9;15.6;2.29;17.5;0.4;0.2;90.2;14.2;85.6;83.4;32.3;2.8;19.3;4.8;18.4;1.9;20.1;2.9;Rohrbach-lès-Bitche
57606;369;9.9;18.3;21460.0;23.7;25.0;15.3;15.7;2.17;37.3;17.3;0.3;86.7;45.5;54.2;243.5;24.2;3.9;30.5;7.5;21.9;3.8;19.2;2.8;Saint-Avold
57628;164;9.8;12.4;22660.0;25.6;31.7;13.5;15.8;2.25;23.5;0.5;0.3;86.5;22.1;77.5;92.5;31.2;3.6;23.6;10.2;18.9;0.0;22.0;2.4;Sarralbe
57630;661;11.0;12.8;22360.0;23.8;27.0;14.8;15.0;2.14;26.1;2.7;0.3;77.0;25.2;73.9;52.2;28.6;3.4;19.8;7.2;21.1;2.5;20.6;2.5;Sarrebourg
57631;562;10.6;14.7;22990.0;21.1;28.5;16.7;13.6;2.05;35.3;9.0;0.2;88.9;40.2;58.4;254.5;30.3;3.6;26.5;8.1;22.0;1.6;21.4;2.6;Sarreguemines
57672;1767;9.1;17.3;23990.0;20.1;21.3;17.2;17.7;2.19;38.2;13.9;0.3;90.4;49.0;50.3;317.3;23.8;3.7;34.9;7.1;12.5;2.3;17.7;2.4;Thionville
58059;268;15.1;14.6;22050.0;24.8;20.4;12.9;14.4;1.96;23.6;6.2;0.3;70.7;13.8;85.5;31.2;27.1;1.6;12.2;4.3;15.3;0.0;22.5;2.4;La Charité-sur-Loire
58062;203;18.7;19.5;20330.0;24.8;22.3;12.9;10.9;1.86;19.9;3.5;0.3;51.3;9.3;90.4;13.8;23.6;2.0;19.5;4.9;16.5;0.0;20.9;5.8;Château-Chinon (Ville)
58079;411;16.2;17.5;20890.0;27.5;28.5;15.6;13.3;1.92;22.4;6.7;0.1;58.5;10.3;89.2;17.0;26.4;2.3;9.6;5.3;13.4;0.0;22.8;4.8;Clamecy
58083;151;17.8;16.5;21090.0;26.1;19.1;13.9;10.7;1.86;18.2;1.1;0.1;53.9;6.0;93.4;13.2;24.9;2.9;23.9;6.0;10.8;0.0;;2.4;Corbigny
58086;640;15.2;14.4;22070.0;25.0;24.9;14.8;14.0;1.96;23.3;6.2;0.4;68.6;10.6;88.9;31.1;30.0;2.6;9.8;6.4;14.5;0.9;22.3;3.4;Cosne-Cours-sur-Loire
58095;335;16.2;15.6;20760.0;26.7;26.8;14.5;12.3;1.91;24.9;6.4;0.1;75.8;15.8;83.2;22.9;22.5;2.3;5.0;4.0;13.1;1.0;24.6;3.0;Decize
58134;86;12.1;13.9;21500.0;24.5;37.3;13.2;14.1;2.02;27.0;9.3;0.2;82.7;22.3;77.4;37.5;23.2;1.7;18.1;3.6;18.1;0.0;22.2;3.6;Imphy
58149;88;20.5;18.2;20110.0;26.5;19.4;10.2;11.0;1.89;21.2;5.5;0.0;64.2;9.4;90.1;12.7;28.3;5.2;21.6;12.9;19.4;4.1;24.5;4.3;Luzy
58194;1207;12.8;15.3;21890.0;21.1;21.8;15.8;15.0;1.97;36.4;14.8;0.2;81.8;33.3;65.9;66.0;25.2;2.9;12.6;5.7;12.6;1.8;21.1;3.6;Nevers
58218;64;17.1;17.1;20600.0;25.0;28.6;9.4;12.8;1.93;21.4;3.1;0.3;60.3;7.4;92.3;13.6;24.9;2.1;0.0;5.3;23.9;0.0;;2.7;Prémery
58264;70;13.1;19.4;20320.0;25.5;30.1;16.7;14.5;2.04;24.5;4.2;0.0;72.8;10.4;89.0;21.1;18.4;2.3;0.0;6.4;17.0;0.0;21.9;8.5;Saint-Pierre-le-Moûtier
59011;184;6.3;10.0;23820.0;20.1;21.4;15.7;18.2;2.38;27.9;16.3;0.2;95.4;14.0;85.9;971.1;29.2;3.8;54.8;6.7;14.9;2.3;17.5;2.7;Annœullin
59015;166;8.4;11.5;22460.0;21.2;19.2;13.7;17.8;2.34;22.6;7.5;0.3;86.2;4.6;93.2;187.7;24.2;3.0;23.0;6.3;24.1;1.1;17.0;3.4;Arleux
59017;882;8.4;14.1;22700.0;21.5;25.3;16.3;18.7;2.28;37.9;17.4;0.3;93.1;25.9;73.5;387.0;25.1;5.1;62.0;11.8;15.2;2.7;17.1;3.3;Armentières
59033;234;9.1;21.8;19430.0;21.8;26.3;19.5;18.1;2.21;40.5;24.6;0.1;91.6;13.9;85.3;256.3;27.5;2.4;33.3;3.8;27.1;1.8;18.9;3.3;Aulnoye-Aymeries
59036;291;9.4;20.3;20560.0;24.6;26.6;17.5;17.2;2.2;35.1;9.5;0.2;87.0;15.0;84.1;71.5;24.0;3.6;44.5;8.1;22.6;2.2;18.5;2.6;Avesnes-sur-Helpe
59037;125;9.5;17.3;20340.0;24.0;21.3;16.9;18.5;2.35;26.2;5.2;0.1;89.7;3.8;95.3;227.5;23.2;3.0;29.6;7.9;23.7;0.0;17.2;4.9;Avesnes-les-Aubert
59051;371;6.9;12.4;22710.0;20.3;28.0;14.2;19.5;2.41;32.7;16.8;0.2;94.0;10.9;88.5;437.9;24.0;5.0;53.0;9.0;15.4;3.2;17.2;3.2;La Bassée
59053;116;7.7;13.8;23230.0;18.1;29.5;14.3;18.1;2.37;24.0;8.0;0.4;89.6;5.5;93.8;119.6;27.5;2.8;46.5;6.2;9.3;0.0;16.2;2.3;Bavay
59067;249;9.2;10.8;23360.0;20.6;30.6;10.8;18.1;2.36;29.2;13.3;0.1;91.7;13.4;83.7;152.3;32.1;3.1;41.9;7.9;20.5;1.8;16.3;3.3;Bergues
59094;125;8.6;15.7;20780.0;24.7;32.5;15.0;19.0;2.34;38.5;15.8;0.7;90.1;14.2;84.3;122.1;30.5;2.9;9.7;6.8;13.6;0.0;17.7;3.9;Bourbourg
