code;libelle;apl_generaliste;taux_pauvrete
39333;Moirans-en-Montagne;3.6;10.6
39368;Hauts de Bienne;2.7;11.7
39397;Orgelet;3.2;8.3
39434;Poligny;3.3;11.2
39470;Les Rousses;3.4;5.4
39475;Saint-Amour;2.1;11.5
39478;Saint-Claude;3.2;13.4
39487;Saint-Laurent-en-Grandvaux;2.8;8.4
39500;Salins-les-Bains;4.1;11.1
39526;Tavaux;3.9;8.7
40001;Aire-sur-l'Adour;3.8;13.8
40046;Biscarrosse;4.9;9.5
40065;Capbreton;5.8;11.8
40075;Castets;3.6;10.7
40119;Hagetmau;3.4;11.7
40133;Labenne;6.2;8.6
40184;Mimizan;3.8;12.5
40194;Montfort-en-Chalosse;3.2;12.6
40197;Morcenx-la-Nouvelle;3.9;12.2
40217;Parentis-en-Born;4.3;11.0
40224;Peyrehorade;3.5;12.2
40233;Pouillon;3.5;11.1
40245;Roquefort;3.1;12.4
40282;Saint-Sever;3.1;9.4
40284;Saint-Vincent-de-Tyrosse;5.5;9.5
40296;Seignosse;5.6;10.8
40310;Soustons;4.7;11.2
40313;Tartas;3.5;11.7
41059;Le Controis-en-Sologne;3.0;9.6
41106;Lamotte-Beuvron;3.2;10.6
41136;Mer;2.6;10.9
41143;Mondoubleau;0.8;15.0
41149;Montoire-sur-le-Loir;2.7;10.4
41151;Montrichard Val de Cher;3.3;10.9
41167;Veuzain-sur-Loire;3.0;9.4
41173;Beauce la Romaine;1.3;7.2
41194;Romorantin-Lanthenay;2.8;15.8
41198;Saint-Aignan;2.9;14.7
41232;Salbris;1.8;12.5
41242;Selles-sur-Cher;2.5;14.7
41269;Vendôme;2.3;12.3
42011;Balbigny;2.9;10.4
42019;Boën-sur-Lignon;2.9;12.4
42023;Bourg-Argental;2.6;13.0
42052;Charlieu;2.2;10.4
42059;Chazelles-sur-Lyon;3.4;9.2
42094;Feurs;3.3;11.8
42147;Montbrison;3.2;10.3
42149;Montrond-les-Bains;3.5;7.1
42165;Panissières;2.6;10.9
42168;Pélussin;2.5;7.9
42204;Saint-Bonnet-le-Château;3.1;10.4
42230;Saint-Germain-Laval;2.5;13.4
43040;Brioude;3.0;16.3
43051;Le Chambon-sur-Lignon;4.5;17.9
43080;Craponne-sur-Arzon;3.4;15.9
43087;Dunières;3.9;11.2
43112;Langeac;2.9;16.3
43137;Monistrol-sur-Loire;4.0;7.7
43162;Retournac;2.9;14.3
43200;Saint-Julien-Chapteuil;2.8;10.4
43216;Saint-Paulien;3.0;13.0
43224;Sainte-Sigolène;3.2;8.0
